pitcher,pitcher_name,season,row_count,status,actual_data_source,verification_source
579328,Yusei Kikuchi,2025,3323,LOADED,mlb_statcast,Statcast pitcher-season response
592332,Kevin Gausman,2023,3144,LOADED,mlb_statcast,Statcast pitcher-season response
592332,Kevin Gausman,2024,3011,LOADED,mlb_statcast,Statcast pitcher-season response
592332,Kevin Gausman,2025,3196,LOADED,mlb_statcast,Statcast pitcher-season response
593958,Eduardo Rodriguez,2023,2449,LOADED,mlb_statcast,Statcast pitcher-season response
593958,Eduardo Rodriguez,2024,1035,LOADED,mlb_statcast,Statcast pitcher-season response
593958,Eduardo Rodriguez,2025,2749,LOADED,mlb_statcast,Statcast pitcher-season response
594902,Ben Lively,2023,1384,LOADED,mlb_statcast,Statcast pitcher-season response
594902,Ben Lively,2024,2467,LOADED,mlb_statcast,Statcast pitcher-season response
594902,Ben Lively,2025,1011,LOADED,mlb_statcast,Statcast pitcher-season response
605397,Joe Musgrove,2023,1561,LOADED,mlb_statcast,Statcast pitcher-season response
605397,Joe Musgrove,2024,1678,LOADED,mlb_statcast,Statcast pitcher-season response
605397,Joe Musgrove,2025,0,VERIFIED_NO_MLB_REGULAR_SEASON_PITCHES,mlb_statcast,MLB Stats API
605400,Aaron Nola,2023,3438,LOADED,mlb_statcast,Statcast pitcher-season response
605400,Aaron Nola,2024,3518,LOADED,mlb_statcast,Statcast pitcher-season response
605400,Aaron Nola,2025,1793,LOADED,mlb_statcast,Statcast pitcher-season response
607536,Kyle Freeland,2023,2419,LOADED,mlb_statcast,Statcast pitcher-season response
607536,Kyle Freeland,2024,1964,LOADED,mlb_statcast,Statcast pitcher-season response
607536,Kyle Freeland,2025,2770,LOADED,mlb_statcast,Statcast pitcher-season response
622663,Luis Severino,2023,1642,LOADED,mlb_statcast,Statcast pitcher-season response
622663,Luis Severino,2024,3372,LOADED,mlb_statcast,Statcast pitcher-season response
622663,Luis Severino,2025,2969,LOADED,mlb_statcast,Statcast pitcher-season response
640455,Sean Manaea,2023,2053,LOADED,mlb_statcast,Statcast pitcher-season response
640455,Sean Manaea,2024,3593,LOADED,mlb_statcast,Statcast pitcher-season response
640455,Sean Manaea,2025,1095,LOADED,mlb_statcast,Statcast pitcher-season response
641482,Nestor Cortes,2023,1070,LOADED,mlb_statcast,Statcast pitcher-season response
641482,Nestor Cortes,2024,3067,LOADED,mlb_statcast,Statcast pitcher-season response
641482,Nestor Cortes,2025,790,LOADED,mlb_statcast,Statcast pitcher-season response
641540,Dane Dunning,2023,2830,LOADED,mlb_statcast,Statcast pitcher-season response
641540,Dane Dunning,2024,1869,LOADED,mlb_statcast,Statcast pitcher-season response
641540,Dane Dunning,2025,597,LOADED,mlb_statcast,Statcast pitcher-season response
650633,Michael King,2023,1686,LOADED,mlb_statcast,Statcast pitcher-season response
650633,Michael King,2024,3168,LOADED,mlb_statcast,Statcast pitcher-season response
650633,Michael King,2025,1428,LOADED,mlb_statcast,Statcast pitcher-season response
650644,Aaron Civale,2023,2010,LOADED,mlb_statcast,Statcast pitcher-season response
650644,Aaron Civale,2024,2862,LOADED,mlb_statcast,Statcast pitcher-season response
650644,Aaron Civale,2025,1909,LOADED,mlb_statcast,Statcast pitcher-season response
650911,Cristopher Sánchez,2023,1498,LOADED,mlb_statcast,Statcast pitcher-season response
650911,Cristopher Sánchez,2024,3007,LOADED,mlb_statcast,Statcast pitcher-season response
650911,Cristopher Sánchez,2025,3124,LOADED,mlb_statcast,Statcast pitcher-season response
656302,Dylan Cease,2023,3268,LOADED,mlb_statcast,Statcast pitcher-season response
656302,Dylan Cease,2024,3454,LOADED,mlb_statcast,Statcast pitcher-season response
656302,Dylan Cease,2025,3370,LOADED,mlb_statcast,Statcast pitcher-season response
656427,Jack Flaherty,2023,2684,LOADED,mlb_statcast,Statcast pitcher-season response
656427,Jack Flaherty,2024,3330,LOADED,mlb_statcast,Statcast pitcher-season response
656427,Jack Flaherty,2025,3085,LOADED,mlb_statcast,Statcast pitcher-season response
656849,David Peterson,2023,1969,LOADED,mlb_statcast,Statcast pitcher-season response
656849,David Peterson,2024,2075,LOADED,mlb_statcast,Statcast pitcher-season response
656849,David Peterson,2025,2931,LOADED,mlb_statcast,Statcast pitcher-season response
657277,Logan Webb,2023,3184,LOADED,mlb_statcast,Statcast pitcher-season response
657277,Logan Webb,2024,3406,LOADED,mlb_statcast,Statcast pitcher-season response
657277,Logan Webb,2025,3570,LOADED,mlb_statcast,Statcast pitcher-season response
663776,Patrick Sandoval,2023,2631,LOADED,mlb_statcast,Statcast pitcher-season response
663776,Patrick Sandoval,2024,1595,LOADED,mlb_statcast,Statcast pitcher-season response
663776,Patrick Sandoval,2025,0,VERIFIED_NO_MLB_REGULAR_SEASON_PITCHES,mlb_statcast,MLB Stats API
663903,Brady Singer,2023,2615,LOADED,mlb_statcast,Statcast pitcher-season response
663903,Brady Singer,2024,3105,LOADED,mlb_statcast,Statcast pitcher-season response
663903,Brady Singer,2025,3165,LOADED,mlb_statcast,Statcast pitcher-season response
664299,Cristian Javier,2023,3081,LOADED,mlb_statcast,Statcast pitcher-season response
664299,Cristian Javier,2024,835,LOADED,mlb_statcast,Statcast pitcher-season response
664299,Cristian Javier,2025,618,LOADED,mlb_statcast,Statcast pitcher-season response
665795,Edward Cabrera,2023,1806,LOADED,mlb_statcast,Statcast pitcher-season response
665795,Edward Cabrera,2024,1795,LOADED,mlb_statcast,Statcast pitcher-season response
665795,Edward Cabrera,2025,2361,LOADED,mlb_statcast,Statcast pitcher-season response
666129,Braxton Garrett,2023,2542,LOADED,mlb_statcast,Statcast pitcher-season response
666129,Braxton Garrett,2024,589,LOADED,mlb_statcast,Statcast pitcher-season response
666129,Braxton Garrett,2025,0,VERIFIED_NO_MLB_REGULAR_SEASON_PITCHES,mlb_statcast,MLB Stats API
666142,Cole Ragans,2023,1591,LOADED,mlb_statcast,Statcast pitcher-season response
666142,Cole Ragans,2024,3515,LOADED,mlb_statcast,Statcast pitcher-season response
666142,Cole Ragans,2025,1437,LOADED,mlb_statcast,Statcast pitcher-season response
668881,Hunter Greene,2023,2093,LOADED,mlb_statcast,Statcast pitcher-season response
668881,Hunter Greene,2024,2738,LOADED,mlb_statcast,Statcast pitcher-season response
668881,Hunter Greene,2025,2155,LOADED,mlb_statcast,Statcast pitcher-season response
669194,Ryne Nelson,2023,2470,LOADED,mlb_statcast,Statcast pitcher-season response
669194,Ryne Nelson,2024,2721,LOADED,mlb_statcast,Statcast pitcher-season response
669194,Ryne Nelson,2025,2712,LOADED,mlb_statcast,Statcast pitcher-season response
669203,Corbin Burnes,2023,3173,LOADED,mlb_statcast,Statcast pitcher-season response
669203,Corbin Burnes,2024,3193,LOADED,mlb_statcast,Statcast pitcher-season response
669203,Corbin Burnes,2025,1300,LOADED,mlb_statcast,Statcast pitcher-season response
670912,Johan Oviedo,2023,2993,LOADED,mlb_statcast,Statcast pitcher-season response
670912,Johan Oviedo,2024,0,VERIFIED_NO_MLB_REGULAR_SEASON_PITCHES,mlb_statcast,MLB Stats API
670912,Johan Oviedo,2025,667,LOADED,mlb_statcast,Statcast pitcher-season response
671106,Logan Allen,2023,2134,LOADED,mlb_statcast,Statcast pitcher-season response
671106,Logan Allen,2024,1825,LOADED,mlb_statcast,Statcast pitcher-season response
671106,Logan Allen,2025,3014,LOADED,mlb_statcast,Statcast pitcher-season response
675911,Spencer Strider,2023,3293,LOADED,mlb_statcast,Statcast pitcher-season response
675911,Spencer Strider,2024,364,LOADED,mlb_statcast,Statcast pitcher-season response
675911,Spencer Strider,2025,2183,LOADED,mlb_statcast,Statcast pitcher-season response
679525,Alec Marsh,2023,1342,LOADED,mlb_statcast,Statcast pitcher-season response
679525,Alec Marsh,2024,2336,LOADED,mlb_statcast,Statcast pitcher-season response
679525,Alec Marsh,2025,0,VERIFIED_NO_MLB_REGULAR_SEASON_PITCHES,mlb_statcast,MLB Stats API
681857,Reese Olson,2023,1744,LOADED,mlb_statcast,Statcast pitcher-season response
681857,Reese Olson,2024,2165,LOADED,mlb_statcast,Statcast pitcher-season response
681857,Reese Olson,2025,1398,LOADED,mlb_statcast,Statcast pitcher-season response
