season,dataset_split,score_status,pitch_type,actual_data_source,pitch_count,run_id,protocol_sha256
2024,validation,CALIBRATION_PHASE,FF,mlb_statcast,6221,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,FS,mlb_statcast,258,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,KC,mlb_statcast,505,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,SI,mlb_statcast,3651,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,SL,mlb_statcast,2231,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,ST,mlb_statcast,1135,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,SV,mlb_statcast,77,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,,mlb_statcast,9,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_HISTORY,,mlb_statcast,84,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,CH,mlb_statcast,109,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,CU,mlb_statcast,146,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FC,mlb_statcast,102,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FF,mlb_statcast,166,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FO,mlb_statcast,1,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FS,mlb_statcast,120,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,KC,mlb_statcast,3,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,PO,mlb_statcast,4,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,SI,mlb_statcast,233,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,SL,mlb_statcast,204,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,ST,mlb_statcast,337,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,MISSING_FEATURES,CH,mlb_statcast,5,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,MISSING_FEATURES,CU,mlb_statcast,1,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,MISSING_FEATURES,FC,mlb_statcast,2,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,MISSING_FEATURES,FF,mlb_statcast,4,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
